district,fips,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd,vs
Natchitoches,22069,1.0,2003.0,4.723927537039928,10.49317895681021,16.262430376580507,0.03933338554250665,69.23776364627864,0.5992886167342925,3.6109231685756713
De Soto,22031,1.0,2003.0,2.003934947511479,9.017593106740755,16.03125126597001,0.0335087582063154,67.986240268513,0.5663588660334529,3.610119864800872
Caddo,22017,1.0,2003.0,2.688941025335478,9.27039038007686,15.851839734818231,0.0,67.4913191536154,0.5613708387869172,3.6757927650667375
Bossier,22015,1.0,2003.0,4.280011732802665,9.996952760358186,15.713893787913674,0.09678894780236576,66.78766547868543,0.5718511787074857,3.4842425501905065
Webster,22119,1.0,2003.0,5.041471094780353,10.372752697073176,15.704034299365988,0.09005815946857117,65.6800665802562,0.5759045929839631,3.5626293957703754
Lafourche,22057,1.0,2003.0,8.305051904501553,13.008530601204017,17.71200929790649,0.0,64.14046663523726,0.6563232711414524,3.9861740752238823
Terrebonne,22109,1.0,2003.0,8.759993991516223,13.068216953576094,17.37643991563605,0.0,65.0094570555702,0.6130032166382464,4.382737170776379
Ascension,22005,1.0,2003.0,7.324805138794384,12.462981320444978,17.601157502095568,0.0,65.02988642285493,0.6585815190682771,3.4132212887824225
Iberville,22047,1.0,2003.0,7.120438294482656,12.240225075329082,17.360011856175493,0.0,70.02433412189491,0.6489381917931111,2.9873116127456623
West Baton Rouge,22121,1.0,2003.0,7.020214732105469,12.224703562713847,17.42919239332223,0.0,69.56389942675476,0.6531054026371285,3.3696633329287873
Pointe Coupee,22077,1.0,2003.0,7.010308330949338,12.125168537766369,17.240028744583395,0.0,69.12358983586425,0.6287500657772376,3.4065325613897457
East Baton Rouge,22033,1.0,2003.0,6.978442951713511,12.141081350138222,17.303719748562926,0.0,68.81713729594108,0.6425854200572102,3.7968354782428944
West Feliciana,22125,1.0,2003.0,6.701472113861151,11.827658962704758,16.95384581154837,0.0,69.97236745508056,0.600424871336209,3.8749027198888806
East Feliciana,22037,1.0,2003.0,6.320365375326044,11.47869386074192,16.637022346157778,0.0,73.28727579067166,0.5785172780768613,4.0636829683645574
Rapides,22079,1.0,2003.0,5.854796078494344,10.927736466745097,16.00067685499586,0.0,72.50805726310897,0.5453443522433866,3.7601297149891546
Grant,22043,1.0,2003.0,6.077587212967865,11.145426216417878,16.213265219867868,0.0,73.3860848692787,0.5660015651841918,3.7348503811443186
Concordia,22029,1.0,2003.0,5.976439930516923,10.805881768712553,15.635323606908171,0.0880664323965531,70.71622972383297,0.5153698917454682,3.838303107888697
St. Helena,22091,1.0,2003.0,6.154361415260957,11.570041731288057,16.985722047315164,0.0,73.34977454503723,0.5802689433008317,4.222507907841648
Livingston,22063,1.0,2003.0,6.903392223465022,12.234301948145971,17.565211672826905,0.0,71.2456968519629,0.6230428521062289,3.924830786576257
Vernon,22115,1.0,2003.0,3.380355625407727,9.868373847377228,16.35639206934674,0.0,66.36641125136151,0.596715647469589,3.622076785480359
Beauregard,22011,1.0,2003.0,2.6831442091200315,9.805609329998285,16.928074450876522,0.14815010637102002,68.17061212473904,0.5810412723842251,3.1457061485826285
St. Martin,22099,1.0,2003.0,7.108095247983131,12.204007083853503,17.29991891972387,0.21353303658081488,69.21085420182476,0.6457705053676853,2.9485763978384623
St. Mary,22101,1.0,2003.0,8.264758671904925,12.305397187658766,16.346035703412603,0.08070268036933985,68.3077917852705,0.5638219994327424,3.7549163483015886
Iberia,22045,1.0,2003.0,6.981665941088207,11.94144178808838,16.901217635088585,0.46665868348636935,71.46927874241648,0.5745740791305239,3.7427335753274775
Vermilion,22113,1.0,2003.0,6.1047329794272915,11.514851804074588,16.924970628721898,0.6171572430841372,67.85609572123273,0.5731219031782528,3.0529330234538974
Acadia,22001,1.0,2003.0,6.199807230784222,11.498402909397786,16.796998588011316,0.6372802828264391,69.49157808652879,0.611020200055802,2.723615905568504
Lafayette,22055,1.0,2003.0,6.776073226841249,11.985495250570303,17.194917274299357,1.5891041090785931,68.78641919752707,0.651528842678088,2.870576277547641
St. Landry,22097,1.0,2003.0,7.091899959421261,12.20023297338809,17.308565987354918,0.15589482901282137,69.03510539470716,0.6537779913691093,3.3297750562163477
Calcasieu,22019,1.0,2003.0,2.9125517735560713,10.054225579662603,17.19589938576912,1.5981423405141872,71.86605455258768,0.5409295746930576,2.0803582387180115
Jefferson Davis,22053,1.0,2003.0,4.735759832574043,10.788844517988563,16.841929203403065,0.34860298976167753,67.81660743456096,0.5784728989497397,2.3758654063005875
Cameron,22023,1.0,2003.0,5.249659249408587,11.254875832884874,17.260092416361168,0.6462417522648484,69.71258392385694,0.5117242302415003,2.5175948498966463
Union,22111,1.0,2003.0,5.961215709914535,10.943670611913902,15.926125513913272,0.008729066022111686,74.47093471438151,0.5578357476139308,3.5159257653751186
Lincoln,22061,1.0,2003.0,5.707668367451262,10.911490473320564,16.11531257918988,0.008424632407232954,71.01972966208413,0.5799243159991504,3.721070706899176
Ouachita,22073,1.0,2003.0,5.480877341366668,10.637770698676583,15.794664055986482,0.0,74.3017011245357,0.5302417920571211,3.7877493244390714
Morehouse,22067,1.0,2003.0,5.498364644270216,10.423141474955353,15.347918305640464,0.0796688644502253,74.32909226220184,0.48810827007997587,3.6913302755115778
Jefferson,22051,1.0,2003.0,8.715101289458932,13.055855966083833,17.39661064270873,0.0,63.38138122452742,0.639750569698698,4.207573233391708
St. Charles,22089,1.0,2003.0,8.562030751046052,13.154670583869056,17.747310416692056,0.0,60.94921107249606,0.6911158531638166,3.4906240803536273
Plaquemines,22075,1.0,2003.0,8.735750133075163,12.6009035310596,16.46605692904411,0.0,70.8212308388542,0.5025454198773571,6.072271611663017
Orleans,22071,1.0,2003.0,8.941288195520023,13.17447867710263,17.40766915868522,0.0,62.63729272694839,0.6336565344054084,4.783819738511239
St. Bernard,22087,1.0,2003.0,7.263928922364478,12.067045958513416,16.87016299466238,0.0,69.78377605403524,0.5415552464835006,5.880143682189575
St. Tammany,22103,1.0,2003.0,7.4891316197045645,12.54067071379182,17.5922098078791,0.0,69.61106246824575,0.566140888701939,4.989599674081388
St. John the Baptist,22095,1.0,2003.0,8.469730593818905,13.097277344763501,17.724824095708104,0.011751785898905518,65.29853276210476,0.6519772678396902,3.6211689938500333
