district,fips,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd,vs
Codington,46029,262,2022,12.90429882,20.24176322,27.57922761,0,70.84515682,0.86297051,5.846824346
Brown,46013,262,2022,13.95572785,21.93281476,29.90990167,0,61.32390378,1.368730043,5.171461536
Edmunds,46045,262,2022,12.90971922,22.08624828,31.26277734,0,64.09375952,1.437268053,4.808144221
Sully,46119,262,2022,13.60931064,23.05843036,32.50755008,0.006545735,63.35130705,1.611076843,4.267508762
Hughes,46065,262,2022,13.06641432,22.69016533,32.31391633,0,63.51624043,1.583035535,3.775112898
Stanley,46117,262,2022,13.45557487,23.70600896,33.95644304,0,60.19772619,1.882560038,3.602321565
Davison,46035,262,2022,14.29253274,22.78695431,31.28137589,0,67.37327192,1.286656081,5.072372352
Hanson,46061,262,2022,14.10511144,22.46550198,30.82589253,0,68.13287365,1.215600498,5.23212587
Beadle,46005,262,2022,13.85842262,22.15665969,30.45489675,0,67.57944261,1.213365457,5.042985627
Brookings,46011,262,2022,13.88685326,20.70098793,27.51512259,0,69.59275085,0.939869691,5.578748935
McCook,46087,262,2022,13.82304726,21.21906054,28.61507383,0.061455912,70.9138002,0.931342479,5.687024134
Minnehaha,46099,262,2022,13.38460095,21.04420984,28.70381874,0.195829367,70.25168094,0.956344852,5.866536815
Lincoln,46083,262,2022,13.31339489,21.61524893,29.91710297,0.015935733,68.97722141,1.081526758,5.047782628
Turner,46125,262,2022,14.2741336,22.20099878,30.12786397,0.012666308,69.41613279,1.091911095,5.240702146
Yankton,46135,262,2022,13.81233362,22.68240718,31.55248074,0,67.38985767,1.272521365,4.733063195
Custer,46033,262,2022,12.93009531,22.38984059,31.84958588,0,31.21961219,2.352538591,4.335234028
Meade,46093,262,2022,12.53569164,23.69454602,34.8534004,0,43.88777076,2.434567035,2.738306736
Pennington,46103,262,2022,12.4859975,23.06146275,33.63692801,0,37.49826117,2.445129427,3.978613183
Lawrence,46081,262,2022,10.7463296,20.00968751,29.27304543,0,31.36703625,2.036520015,4.2945327
Union,46127,262,2022,13.50809867,22.59135668,31.67461469,0,66.78500857,1.317953944,5.263745464
Clay,46027,262,2022,14.47397276,23.32272819,32.17148361,0,66.75003993,1.38927486,5.043422185
Grant,46051,262,2022,12.06220055,20.07952538,28.09685021,0,68.62428093,0.990068217,5.788433012
Roberts,46109,262,2022,12.57516332,20.64639394,28.71762455,0,64.83363914,1.183507396,5.363154727
Marshall,46091,262,2022,14.68227593,21.60180201,28.52132809,0,59.60133996,1.275480857,5.31437584
Day,46037,262,2022,14.50761619,21.4785461,28.449476,0,65.48438835,1.123612815,5.422970884
Deuel,46039,262,2022,12.27235096,19.69865174,27.12495252,0,71.3391757,0.798461956,5.661179318
Hamlin,46057,262,2022,12.88191287,20.33472528,27.78753769,0,70.81469326,0.881251131,6.083408543
Clark,46025,262,2022,13.70098587,21.2548025,28.80861913,0,68.3786092,1.084792357,5.630274929
McPherson,46089,262,2022,12.83458894,22.00163193,31.16867492,0,62.37722779,1.477790278,4.826405921
Spink,46115,262,2022,13.91063508,22.28856273,30.66649037,0,63.63899119,1.393039849,4.772923603
Faulk,46049,262,2022,12.24059801,21.92551571,31.61043341,0,64.62490827,1.414493891,4.695102043
Hand,46059,262,2022,13.3971275,22.39312812,31.38912874,0,65.78679451,1.36619413,5.140695783
Campbell,46021,262,2022,13.97653066,23.12934256,32.28215446,0,60.52430815,1.644794807,4.439863979
Walworth,46129,262,2022,14.51106945,23.23436009,31.95765073,0,60.3405063,1.609628345,4.652494082
Potter,46107,262,2022,13.99766128,23.04984401,32.10202674,0,62.28292503,1.581743321,4.485615256
Hyde,46069,262,2022,13.16518789,22.39079961,31.61641133,0,64.43049166,1.465966345,4.134774311
Dewey,46041,262,2022,15.0814198,24.23900202,33.39658424,0,56.28246311,1.887574744,3.900619801
Corson,46031,262,2022,15.193132,24.18709157,33.18105114,0,53.68148556,1.925446405,3.573718669
Fall River,46047,262,2022,12.10265617,22.97496391,33.84727165,0,34.73461073,2.506824912,3.332613672
Perkins,46105,262,2022,12.66920532,23.19872246,33.7282396,0,48.86461014,2.154013388,2.978889022
Ziebach,46137,262,2022,13.88236561,24.14411958,34.40587356,0,51.66370231,2.161431388,3.290158177
Haakon,46055,262,2022,12.84613554,24.21532377,35.584512,0,52.62741532,2.314067117,3.055744693
Harding,46063,262,2022,10.87457601,21.63967342,32.40477082,0,44.59869312,2.09290644,3.434554375
Butte,46019,262,2022,11.85391608,22.68410907,33.51430205,0,41.6869239,2.291158646,2.790786968
Todd,46121,262,2022,14.88104186,24.44416787,34.00729388,0,51.03532363,2.086103964,3.973039752
Bennett,46007,262,2022,14.39237956,24.4618597,34.53133984,0,41.1660155,2.428963565,3.882573665
Oglala Lakota,46102,262,2022,12.54659378,23.72811433,34.90963487,0,39.48247316,2.535074135,3.770298498
Jackson,46071,262,2022,14.19485485,25.28669168,36.37852851,0,43.92738903,2.636562443,3.255333488
Mellette,46095,262,2022,14.76244165,24.85570275,34.94896385,4.97E-04,51.66650304,2.207389323,3.910919808
Jones,46075,262,2022,14.41789023,24.52070287,34.62351551,0,55.35719617,2.075786558,3.447475261
Lyman,46085,262,2022,13.86440839,23.40435775,32.94430711,0.009053989,62.35231951,1.681248951,4.332138283
Buffalo,46017,262,2022,13.42094577,22.63491425,31.84888273,0,65.30112806,1.418231155,5.239074626
Tripp,46123,262,2022,15.55300395,23.90702974,32.26105553,0.182832845,59.30619364,1.652336361,4.521709664
Brule,46015,262,2022,13.66810702,22.85472489,32.04134276,0,65.71751484,1.391706478,5.073664025
Gregory,46053,262,2022,14.25925789,22.93218272,31.60510754,0,66.39427134,1.345594342,5.055755753
Charles Mix,46023,262,2022,13.42380463,23.110237,32.79666937,0,65.84386863,1.402122056,5.296399249
Douglas,46043,262,2022,13.8116974,23.21232446,32.61295152,0,66.43104277,1.366951571,5.413330147
Bon Homme,46009,262,2022,13.41661504,22.83201899,32.24742293,0,66.91051098,1.298808238,5.105357381
Hutchinson,46067,262,2022,14.28683224,22.88956397,31.4922957,0.0031315,67.82438406,1.263072913,5.313935002
Miner,46097,262,2022,13.85932657,21.5731303,29.28693403,0,69.56473645,1.048618755,5.403605324
Sanborn,46111,262,2022,14.01550906,22.44607067,30.87663229,0,67.47709259,1.257921272,5.389631043
Jerauld,46073,262,2022,13.74826636,22.40885062,31.06943489,0,67.11804543,1.256016636,5.582051295
Aurora,46003,262,2022,13.1374381,22.35819634,31.57895459,0,66.95132328,1.248864705,5.069521733
Kingsbury,46077,262,2022,13.65929149,21.21768027,28.77606905,0,69.86779753,1.000554868,6.149090975
Lake,46079,262,2022,13.42961757,20.63310914,27.83660072,0,71.25106448,0.879159569,5.53138636
Moody,46101,262,2022,14.2840913,21.10995635,27.9358214,0,68.08392258,1.006531338,5.37685183
Codington,46029,263,2022,11.17089425,19.93776968,28.7046451,0.00897278,69.00611127,0.926299417,3.882410886
Brown,46013,263,2022,9.46601582,18.14954854,26.83308127,0,66.25714341,1.016095186,4.740423225
Edmunds,46045,263,2022,9.078222261,17.85817432,26.63812639,0,65.01279601,1.068645401,4.912756486
Sully,46119,263,2022,10.81240552,19.86111076,28.90981601,0.106796015,62.52003927,1.32173291,4.675855644
Hughes,46065,263,2022,10.88614083,20.55688997,30.2276391,0,62.02174406,1.442094638,3.789227714
Stanley,46117,263,2022,10.75854688,19.88767394,29.01680099,0.118837524,62.21074823,1.353415649,4.352884586
Davison,46035,263,2022,13.26768028,23.1864537,33.10522713,0.186309687,63.49673172,1.648857067,3.008577272
Hanson,46061,263,2022,12.40644662,23.11684325,33.82723989,0.071734896,63.49068918,1.670201966,3.041455477
Beadle,46005,263,2022,10.81183625,21.1134479,31.41505955,0.029035997,65.12127097,1.308784921,3.183467918
Brookings,46011,263,2022,11.89814816,21.5618093,31.22547044,0,67.38953932,1.163327362,3.038699795
McCook,46087,263,2022,11.9140225,22.94146852,33.96891453,0.020810381,63.80685522,1.605947272,3.455086303
Minnehaha,46099,263,2022,12.17668701,23.09224091,34.0077948,0,64.33403606,1.563691799,3.91427828
Lincoln,46083,263,2022,12.43816304,23.97137472,35.5045864,0,62.84524752,1.830130343,3.667169427
Turner,46125,263,2022,12.9002692,24.11084502,35.32142085,0,62.9291952,1.820401448,3.624332832
Yankton,46135,263,2022,13.621532,24.47610222,35.33067244,0,62.12162066,1.946124673,3.683161164
Custer,46033,263,2022,7.336590686,16.0360775,24.73556431,0.2809567,38.07626536,1.434743604,3.080433927
Meade,46093,263,2022,7.905225148,16.458961,25.01269686,0.633642592,53.86294957,1.198633548,3.871515673
Pennington,46103,263,2022,8.207503202,16.77950538,25.35150755,0.009630648,46.33403498,1.357467333,3.608077801
Lawrence,46081,263,2022,5.017781714,13.04795064,21.07811956,1.577668171,51.65972545,0.970280491,2.680350928
Union,46127,263,2022,13.65296414,24.93491701,36.21686987,0,61.17298092,2.081479379,4.120352779
Clay,46027,263,2022,13.75483144,24.95040349,36.14597553,0,61.66398954,2.062366829,3.861427345
Grant,46051,263,2022,12.0358651,20.59669145,29.1575178,0,68.02312751,1.051678033,4.105102966
Roberts,46109,263,2022,10.65149936,19.80739068,28.96328201,0,65.49297669,1.180818336,4.388187784
Marshall,46091,263,2022,8.992272796,18.26292162,27.53357044,0,65.5806636,1.068364456,4.985841295
Day,46037,263,2022,10.28312854,19.14489783,28.00666711,0,67.12695463,1.009562945,4.622918511
Deuel,46039,263,2022,11.64870294,20.79934654,29.94999015,0,68.83162959,0.983502567,3.458098139
Hamlin,46057,263,2022,11.11820504,20.31228653,29.50636801,0,68.87108261,0.965335139,3.384758606
Clark,46025,263,2022,10.40620588,19.82872807,29.25125027,0.047245774,67.31624158,1.039269038,3.442017541
McPherson,46089,263,2022,7.48574012,16.48234031,25.47894049,0,64.57666294,1.004007838,4.99381337
Spink,46115,263,2022,9.781890206,19.44189005,29.10188989,0.121797347,66.0388642,1.117510713,3.703104714
Faulk,46049,263,2022,9.759797328,19.24714552,28.73449371,0.152313308,64.66279911,1.199054379,4.573389596
Hand,46059,263,2022,9.915704318,20.12411606,30.33252781,0.387148111,64.77000625,1.25871983,3.757677303
Campbell,46021,263,2022,8.341114097,16.47781817,24.61452224,0,63.63656076,0.981975678,5.207139102
Walworth,46129,263,2022,9.485439394,17.38945197,25.29346455,0,62.96262377,1.025201867,5.388168399
Potter,46107,263,2022,10.15985933,18.72396042,27.2880615,0.130137871,63.37693603,1.161699786,5.351792382
Hyde,46069,263,2022,9.93117559,20.04880921,30.16644282,0.174965726,63.68338462,1.346135985,3.966298364
Dewey,46041,263,2022,10.33510016,18.06038224,25.78566431,0.12937249,60.46271221,1.115475841,5.199749301
Corson,46031,263,2022,8.645773631,15.9292819,23.21279017,0,60.17677109,0.950903555,4.980435126
Fall River,46047,263,2022,7.495538066,17.39300557,27.29047307,1.91429574,35.29189344,1.711746597,2.903795364
Perkins,46105,263,2022,7.186612527,14.92804541,22.66947828,0.948892346,56.14897417,0.996922116,4.73193315
Ziebach,46137,263,2022,8.819228655,16.96957533,25.119922,0.86082682,58.9246278,1.114338558,4.795109496
Haakon,46055,263,2022,10.01782118,18.92083864,27.8238561,0.269525859,56.7319421,1.363625963,4.047380987
Harding,46063,263,2022,7.225390882,13.83509942,20.44480795,0.475560724,53.45471029,0.89286339,4.535847345
Butte,46019,263,2022,7.35410575,14.92172463,22.48934351,3.305666747,55.12119281,0.992076924,3.734532385
Todd,46121,263,2022,10.7983807,20.27216365,29.7459466,0.010086362,46.14895088,1.740712267,4.456312995
Bennett,46007,263,2022,9.671322501,19.11402176,28.55672103,0.0273535,42.33744353,1.703436566,4.133349335
Oglala Lakota,46102,263,2022,8.920672927,18.36518227,27.80969162,0.750673699,41.43678537,1.65013621,3.715704603
Jackson,46071,263,2022,10.11106321,19.59403947,29.07701573,0.091879276,48.80092067,1.635279484,3.82877076
Mellette,46095,263,2022,10.39530293,20.19298044,29.99065795,0.047178298,53.26686882,1.631734221,4.413346688
Jones,46075,263,2022,10.39016931,19.96545164,29.54073397,0,60.91268862,1.428920515,4.008524165
Lyman,46085,263,2022,10.72081114,20.91864826,31.11648538,0,62.24673176,1.51431611,4.001101707
Buffalo,46017,263,2022,9.429130982,20.72253582,32.01594066,0,62.59609636,1.49427339,3.68856212
Tripp,46123,263,2022,11.58890792,21.32477597,31.06064402,0,54.16112026,1.709300739,4.278870975
Brule,46015,263,2022,11.47258958,21.75949182,32.04639405,0,62.60913369,1.547979111,3.362887462
Gregory,46053,263,2022,12.23714273,21.89354437,31.54994602,0.074365873,57.79330864,1.660869693,4.362716454
Charles Mix,46023,263,2022,12.74386005,22.90467236,33.06548467,0,61.2989392,1.738930296,4.05877783
Douglas,46043,263,2022,13.19207438,23.00624858,32.82042277,0,62.67055076,1.662008498,3.695467658
Bon Homme,46009,263,2022,13.60142837,24.02931819,34.45720801,0,61.35932249,1.886770095,3.823912437
Hutchinson,46067,263,2022,13.17917299,23.75469962,34.33022626,0,62.81369615,1.787846612,3.473222619
Miner,46097,263,2022,11.90814544,22.23131596,32.55448647,0,64.95884088,1.433653673,2.901644331
Sanborn,46111,263,2022,12.15839888,22.28159836,32.40479783,0,64.37921693,1.494855839,2.848077172
Jerauld,46073,263,2022,10.82912262,21.29223782,31.75535303,0,64.26347799,1.397455251,3.399045609
Aurora,46003,263,2022,12.15757678,22.27835662,32.39913646,0.010068045,63.55421655,1.54132424,3.05541389
Kingsbury,46077,263,2022,11.44419801,21.31262062,31.18104324,0,66.55112632,1.213513973,3.194580814
Lake,46079,263,2022,11.88418973,22.07309795,32.26200618,0,65.70063056,1.347687999,3.043522369
Moody,46101,263,2022,11.78194473,22.3530651,32.92418547,0,65.46331289,1.387456198,3.206604835
Codington,46029,264,2022,4.046783399,10.79103482,17.53528624,0,56.78510872,0.691298448,6.645187975
Brown,46013,264,2022,2.856939306,10.85639341,18.85584751,0,54.60827532,0.796111146,5.853030527
Edmunds,46045,264,2022,3.143421274,10.78680565,18.43019003,0,53.85784641,0.780231502,5.690593405
Sully,46119,264,2022,5.16070766,12.17250521,19.18430277,0.111318133,49.10258841,0.884078037,4.691150409
Hughes,46065,264,2022,5.128344635,12.38433134,19.64031805,0,47.59217584,0.932163259,4.057737586
Stanley,46117,264,2022,6.314257281,12.75462673,19.19499618,0.010999338,48.11062026,0.90396423,4.139579034
Davison,46035,264,2022,4.796247589,12.95317352,21.11009945,0.099237339,57.53988701,0.879639618,4.908786699
Hanson,46061,264,2022,3.715273659,12.73658423,21.7578948,0.074913365,62.20757253,0.865324347,4.994861372
Beadle,46005,264,2022,3.406081527,11.90790103,20.40972054,0.260374862,52.82361536,0.909504667,5.185305418
Brookings,46011,264,2022,4.974908184,11.61746994,18.26003169,0,54.83568911,0.744947995,5.63028316
McCook,46087,264,2022,4.59935702,12.50629101,20.41322501,0.074374671,60.38531869,0.796680538,5.348492296
Minnehaha,46099,264,2022,5.048718842,12.51586474,19.98301064,0.042401941,59.707145,0.774073939,5.468167537
Lincoln,46083,264,2022,5.828849794,13.10794849,20.38704719,4.06E-04,64.40001852,0.725330768,4.745196261
Turner,46125,264,2022,6.06386239,13.38421062,20.70455886,0.110274555,64.97665521,0.732371385,5.052437898
Yankton,46135,264,2022,7.940752205,13.91110404,19.88145588,0.220191456,61.96794075,0.716924311,4.652368634
Custer,46033,264,2022,6.706782583,11.40078844,16.09479431,0.014376152,53.68344672,0.677964221,3.448395431
Meade,46093,264,2022,6.195955481,11.76518832,17.33442115,0.871964618,49.68456705,0.792649508,3.319190615
Pennington,46103,264,2022,7.039414429,11.69160249,16.34379055,0.559675777,50.3043126,0.750837051,3.169831894
Lawrence,46081,264,2022,4.665491083,8.571780773,12.47807046,1.76268331,66.15216525,0.408684241,2.747832285
Union,46127,264,2022,7.280573067,13.1138123,18.94705153,0.098302653,65.75268185,0.622348084,5.152725475
Clay,46027,264,2022,7.895766866,13.36886491,18.84196296,0.25276584,65.0804616,0.626432215,4.916205211
Grant,46051,264,2022,5.063368615,11.43647094,17.80957327,0,55.10505466,0.722326448,6.875973155
Roberts,46109,264,2022,4.865004153,11.3595875,17.85417085,0,54.60417192,0.731945657,6.846639678
Marshall,46091,264,2022,4.213726133,10.65169472,17.08966331,0,55.32368618,0.692916811,7.032675161
Day,46037,264,2022,5.863035482,11.67520231,17.48736915,0,50.34303064,0.766796353,6.41254349
Deuel,46039,264,2022,4.52863863,11.07348518,17.61833173,0,57.60434317,0.681356308,6.405321067
Hamlin,46057,264,2022,3.50957672,10.81002181,18.1104669,0.100864183,57.64964549,0.715199711,6.58828405
Clark,46025,264,2022,4.728710902,11.64798083,18.56725076,0.078639172,51.04785167,0.813331413,6.110844468
